sample,fastq_1,fastq_2,experimentalID,fraction,sample_group
NPCmutR2_Ire_S4_H1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR2_Ire_S4_H1_S38_L001_R1_001.fastq.gz,,NPCmutR2_Ire,S4,MUT_NPC
NPCmutR2_Ire_S3_G1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR2_Ire_S3_G1_S37_L002_R1_001.fastq.gz,,NPCmutR2_Ire,S3,MUT_NPC
NPCmutR2_Ire_S3_G1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR2_Ire_S3_G1_S37_L001_R1_001.fastq.gz,,NPCmutR2_Ire,S3,MUT_NPC
NPCmutR2_Ire_S2S_E1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR2_Ire_S2S_E1_S35_L002_R1_001.fastq.gz,,NPCmutR2_Ire,S2S,MUT_NPC
NPCmutR2_Ire_S2S_E1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR2_Ire_S2S_E1_S35_L001_R1_001.fastq.gz,,NPCmutR2_Ire,S2S,MUT_NPC
NPCmutR2_Ire_S2L_F1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR2_Ire_S2L_F1_S36_L002_R1_001.fastq.gz,,NPCmutR2_Ire,S2L,MUT_NPC
NPCmutR2_Ire_S2L_F1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR2_Ire_S2L_F1_S36_L001_R1_001.fastq.gz,,NPCmutR2_Ire,S2L,MUT_NPC
NPCmutR1_Ire_S4_D1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR1_Ire_S4_D1_S34_L002_R1_001.fastq.gz,,NPCmutR1_Ire,S4,MUT_NPC
NPCmutR1_Ire_S4_D1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR1_Ire_S4_D1_S34_L001_R1_001.fastq.gz,,NPCmutR1_Ire,S4,MUT_NPC
NPCmutR1_Ire_S3_C1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR1_Ire_S3_C1_S33_L002_R1_001.fastq.gz,,NPCmutR1_Ire,S3,MUT_NPC
NPCmutR1_Ire_S3_C1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR1_Ire_S3_C1_S33_L001_R1_001.fastq.gz,,NPCmutR1_Ire,S3,MUT_NPC
NPCmutR1_Ire_S2S_A1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR1_Ire_S2S_A1_S31_L002_R1_001.fastq.gz,,NPCmutR1_Ire,S2S,MUT_NPC
